tax_class,country_code,zone_code,description,rate,type
STANDARD,AT,,Austria,20.00,percent
STANDARD,BE,,Belgium,21.00,percent
STANDARD,BG,,Bulgaria,20.00,percent
STANDARD,CY,,Cyprus,19.00,percent
STANDARD,CZ,,Czech,21.00,percent
STANDARD,DE,,Germany,19.00,percent
STANDARD,DK,,Denmark,25.00,percent
STANDARD,EE,,Estonia,20.00,percent
STANDARD,GR,,Greece,24.00,percent
STANDARD,ES,,Spain,21.00,percent
STANDARD,FI,,Finland,24.00,percent
STANDARD,FR,,France,20.00,percent
STANDARD,HR,,Croatia,25.00,percent
STANDARD,HU,,Hungary,27.00,percent
STANDARD,IE,,Ireland,21.00,percent
STANDARD,IT,,Italy,22.00,percent
STANDARD,LT,,Lithuania,21.00,percent
STANDARD,LU,,Luxembourg,17.00,percent
STANDARD,LV,,Latvia,21.00,percent
STANDARD,MT,,Malta,18.00,percent
STANDARD,NL,,Netherlands,21.00,percent
STANDARD,PL,,Poland,23.00,percent
STANDARD,PT,,Portugal,23.00,percent
STANDARD,RO,,Romania,19.00,percent
STANDARD,SE,,Sweden,25.00,percent
STANDARD,SI,,Slovenia,22.00,percent
STANDARD,SK,,Slovakia,20.00,percent
